StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q16_First Click,Q16_Last Click,Q16_Page Submit,Q16_Click Count,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q54_1,Q54_2,Q54_3,Q54_4,Q54_5,Q54_6,Q54_7,Q54_8,Q54_9,Q54_10,Q54_11,Q42,Q43,Q45,Q46,Q47,Q48,Q49,Q50,Q51
11/21/2018 20:15,11/21/2018 20:16,IP Address,107.242.117.10,100,40,TRUE,11/21/2018 20:16,R_3psg68mAxRCSrZw,,,,,37.75100708,-97.8219986,anonymous,EN,"I consent, begin the study",1.132,13.367,14.057,35,,,,,,,,,,,,Buy,Won't buy,Buy,Won't buy,Buy,Won't buy,Buy,Won't buy,Buy,Buy,Won't buy,2-3 times a week,Significantly less than half,18 - 25 years old,Other,Prefer not to answer,American Indian or Alaska Native,High school or equivalent,Employed part time (up to 39 hours a week),"$10,000 - $24,999"
11/15/2018 11:03,11/15/2018 11:05,IP Address,128.237.180.194,6,136,FALSE,11/22/2018 11:05,R_33CLA9uFOb9vyaj,,,,,,,anonymous,EN,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2018 11:00,11/15/2018 11:05,IP Address,128.237.180.194,50,270,FALSE,11/22/2018 11:05,R_1fZQrP1M3SVefQ9,,,,,,,anonymous,EN,"I consent, begin the study",55.689,68.363,70.125,11,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,,,,,,,,,,,,Daily,None,,,,,,,
11/23/2018 9:21,11/23/2018 9:24,IP Address,197.210.45.150,100,181,TRUE,11/23/2018 9:24,R_2zqew1Dd72EKARb,,,,,6.453094482,3.395797729,anonymous,EN,"I consent, begin the study",5.24,73.586,74.701,37,Won't buy,Buy,Buy,Won't buy,Buy,Buy,Buy,Won't buy,Won't buy,Buy,Won't buy,,,,,,,,,,,,Less often,Significantly less than half,36 - 45 years old,Male,No,Black or African American,"Bachelor's degree (e.g. BA, BS)",Self-employed,"$10,000 - $24,999"
11/23/2018 9:49,11/23/2018 9:52,IP Address,41.58.77.130,100,179,TRUE,11/23/2018 9:52,R_1gOTcXxNNTghJwF,,,,,6.453094482,3.395797729,anonymous,EN,"I consent, begin the study",7.253,54.68,55.902,41,Won't buy,Buy,Buy,Buy,Buy,Won't buy,Buy,Buy,Won't buy,Won't buy,Buy,,,,,,,,,,,,2-3 times a month,None,26 - 35 years old,Male,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)",Self-employed,"$1 - $9,999"
11/23/2018 10:15,11/23/2018 10:20,IP Address,99.203.0.252,100,281,TRUE,11/23/2018 10:20,R_2tfAy5Ze72uiSxS,,,,,42.33760071,-83.13030243,anonymous,EN,"I consent, begin the study",4.099,37.688,38.68,38,Won't buy,Won't buy,Buy,Buy,Buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,,,,,,,,,,,,2-3 times a month,Approximately half,26 - 35 years old,Male,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Student,"$50,000 - $74,999"
11/23/2018 13:47,11/23/2018 13:48,IP Address,71.60.32.220,100,47,TRUE,11/23/2018 13:48,R_126hIUAagAHiUht,,,,,40.43080139,-79.92050171,anonymous,EN,"I consent, begin the study",0.794,13.357,14.011,33,,,,,,,,,,,,Buy,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Less often,Significantly more than half,18 - 25 years old,Female,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Student,"$1 - $9,999"
11/23/2018 14:01,11/23/2018 14:03,IP Address,81.108.92.196,100,104,TRUE,11/23/2018 14:03,R_11XTpnwtL8q8soJ,,,,,51.65530396,-0.395996094,anonymous,EN,"I consent, begin the study",4.132,34.504,35.501,33,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,,,,,,,,,,,,Once a month,Approximately half,46 - 55 years old,Female,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)",Self-employed,No income
11/23/2018 15:59,11/23/2018 16:01,IP Address,82.152.118.49,100,148,TRUE,11/23/2018 16:01,R_rr0XOUs1adz1sml,,,,,52.60650635,-1.658096313,anonymous,EN,"I consent, begin the study",1.437,18.474,20.502,7,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,,,,,,,,,,,,Less often,None,26 - 35 years old,Male,No,White or Caucasian,"Master's degree (e.g. MA, MS, MEd)",Employed part time (up to 39 hours a week),"$25,000 - $49,999"
11/23/2018 16:43,11/23/2018 16:48,IP Address,105.112.98.30,100,330,TRUE,11/23/2018 16:48,R_1Kkeh5gP1EQxURC,,,,,6.335006714,5.627502441,anonymous,EN,"I consent, begin the study",9.966,161.169,163.599,75,,,,,,,,,,,,Won't buy,Won't buy,Won't buy,Buy,Buy,Buy,Buy,Buy,Buy,Won't buy,Buy,Once a week,Significantly less than half,26 - 35 years old,Male,No,Black or African American,"Bachelor's degree (e.g. BA, BS)",Employed full time (40 hours or more a week),"$10,000 - $24,999"
